covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,z,p,-log2(p)
age,0.00322,1,0.0104,-0.0172,0.0237,0.983,1.02,0.309,0.758,0.401
sex,0.471,1.6,0.483,-0.477,1.42,0.621,4.13,0.974,0.33,1.6
log(LDH),0.792,2.21,0.424,-0.0388,1.62,0.962,5.07,1.87,0.0617,4.02
SIOPEN,0.003,1,0.0155,-0.0274,0.0334,0.973,1.03,0.193,0.847,0.24
MYCN,-0.504,0.604,0.743,-1.96,0.952,0.141,2.59,-0.678,0.498,1.01
tumor size,0.000842,1,0.000533,-0.000202,0.00189,1,1,1.58,0.114,3.13
